Lead Source,Opportunity Name,Probability (%),Quantity,Next Step,Campaign Name,Stage,Opportunity Type,Fiscal Quarter,Fiscal Year,Fiscal Period,Alternate Customer Name,Bidding Partner Name,Bidding Partner 2 Name,Bidding Partner 3 Name,Budget,Business Drivers,Cisco Quote Number,Closed Years,Confirmed Customer Approved Inventory,Confirmed End User PO Date,Confirmed Partner PO Submission__c,Confirmed Quote Submission,Co-Terming,Deal ID,Distributor Name ,End User PO Date,Expired,Incumbent Partner Name,Inventory Reviewed Date,LOA Needed,LOA Completed,Multi-National,Multi-Year,Multi-Year Reason,Name Variations,Non-Standard Pricing,OEM SO,Opportunity Lost Reason,Opportunity Owned By,Out to Bid,PAK Count,Partner PO Date,Current PSDM Contact First Name,Current PSDM Contact Lastt Name,Proactive/Reactive,Customer Quote Validation Date,Required in Cisco SFDC,Route to Market,Transfer,Transfer Note,Transfer To,Winning Partner Name,Forecast Status,Expired Date,Closed,Won,Has Line Item,Price Book Name,Agent Assigned ID,Last Activity,Covered,Up for Renewal,Upgrade,Multi-National,Cisco Cap,SO Number,Expired Amount,Customer Contact First Name,Customer Contact Last Name,Partner Contact First Name,Partner Contact Last Name,Systems Engineer First Name,Systems Engineer Last Name,Deal ID URL,Primary CSM First Name,Primary CSM Last Name,Cisco Account Manager First Name,Cisco Account Manager  Last Name,Forecast FY Start Date,Forecast FQ Start Date,Date Agent Reviews Inventory,Customer Approved Inventory Date,Unknown Amount,Booked %,Expired %,Forecast Amount,Forecast Date,Description,Forecast Category,Order Number,Booked Amount,Contract (CSV),Closed Years,Cisco Booked Date,Closed Channel,Region Code Booked To ,Reason Full Total Wasn't Closed,Account Name,Account Number,Account Owner,Account Record Type,DUNS Number,Parent Account Name,Annual Revenue,Account Bill Address Line ,Account  Bill City,Account Bill State,Account Bill Postal Code,Account Bill Country,Account Ship Address Line ,Account  Ship City,Account Ship State,Account Ship Postal Code,Account Ship Country,Description,Employees,Fax,Industry,Phone,Website,Bill to Install Site Name,Contact Type,First Name,Last Name,Salutation,Title,Role,Reports To,Contact Owner,Department,Description,Email,Business Phone,Other Phone,Mobile,Business Fax,Home Phone,Contact Mail Address Line ,Contact Mail City,Contact Mail State,Contact Mail Postal Code,Contact Mail Country,Contact Other Address Line,Contact Other City,Contact Other State,Contact Other Postal Code,Contact Other Country,Assistant,Asst. Phone,Lead Source,Contact Status,3rd Party,Best Time to Talk,CCO ID,Preferred Contact Method,Time Zone,Last Stay-in-Touch Request Date,Last Stay-in-Touch Save Date,Install Site Name,Type,Owner ID,Billing Street,Billing City,Billing State,Billing Country,Billing Zip,Region Name,Region Code,Area,Segment,Theatre,Owner ID,Contract Number,Distributor Name,Install Site Name,Partner Name ,Service Level Name,Billing Street,Billing City,Billing State,Billing Country,Billing Zip,Contract End Date,Contract Start Date,Expired Amount,Quarter,Year,Asset Name,Competitor Asset,Description,Install Date,Price,Purchase Date,Quantity,Serial Number,Status,Usage End Date,Original SO Number,PAK Serial Number,Booked/Open,Install Site Name,Installed Site Country,Instance ID,Instance ID Source,Linked Contract Number ,Partner Country,Partner Name,Serial Number Source,Total Line Booking,Order ID,Order 2 ID
Header Record,VSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JK Partner,100001,Jeff Krause,Partner,100100001,,,101 First Street,Omaha,Nebraska,68164,United States ,101 First Street,Omaha,Nebraska,68164,United States ,Add Partner Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JK Distributor,100002,Jeff Krause,Distributor,100100002,JK Partner,,102 First Street,Omaha,Nebraska,68164,United States ,102 First Street,Omaha,Nebraska,68164,United States ,Add Distributor Account with Contact,,402.498.2000,,402.498.4001 Ext. 102,,,Distributor,Alice,Kranz,Ms.,Distribution Manager,Administration,,Jeff Krause,Distribution,Partial contact population,Alice.Kranz@JKDistributor.com,402.498.4001 Ext. 102,,,402.498.2000,,,,,,,,,,,,Mack Martin,402.498.4001 Ext. 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JK Distributor,100002,,Distributor,,JK Partner,,,,,,,,,,,,,,,,,,,PSDM,Mack,Martin,Mr.,Assistant Mgr.,Distribution,Alice Kranz,Jeff Krause,Distribution,Full contact info population,Mack.Martin@JKDistributor.com,402.498.4001 Ext. 103,402.960.4756,402-960-2398,402.498.2000,402.445.9797,102 First Street,Omaha,Nebraska,68164,United States ,2487 Forest Dr.,Omaha,Nebraska,68102,United States,Sam Smith,402.498.4001 Ext. 104,Other,Active,Y,Morning,45454526,Phone,GMT-6 (CST),9/2/2014,9/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advertisement,,90,12,,,Pre-Prospect,VSO,3,2014,13,J&K Manufacturing,JK Partner,JK Partner,JK Partner,Natural Disaster,Improving operational efficiencies,C1234345,1,Y,Y,Y,Y,Yes,D1234512345,JK Distributor,8/29/2014,No,JK Partner,8/27/2014,No,N,N,N,Asset Refresh,J&K Manf. Opp ,No,AFV23453245,,CVG,No,4,9/13/2014,Mack ,Martin,Proactive,8/26/2014,Yes,T1,N,transfer note 1,Jeff Krause,JK Partner,Commit,8/25/2014,N,N,Y,Standard Price Book,Jeff Krause,11/31/14,1001.01,2002.02,1001.01,N,Y,SO1233452334,1001.01,Arnold,Ziffle,Alice,Kranz,Alice,Kranz,abcde.com,Alice,Kranz,Alice,Kranz,10/1/2014,10/1/2014,8/26/2014,8/29/2014,100,90%,50,2002.02,11/30/2014,opportunity 1,Pipeline,,,,,,,,,JK Manufacturing,100003,Jeff Krause,Customer,100100003,JK Partner,15000000,103 First Street,Omaha,Nebraska,68164,United States ,103 First Street,Omaha,Nebraska,68164,United States ,Add Customer Account,256,402.498.2026,Manufacturing,402.498.9800 Ext. 157,JKMaunfacturing.com,JK Manufacturing,Customer,Arnold,Ziffle, ,Manager,Procurement Manager,,Jeff Krause,Procurement,Customer contact,ArnoldZiffle@JKManufacturing.com,402.498.9800 Ext. 157,,,402.498.4141,,103 First Street,Omaha,Nebraska,68164,United States ,,,,,,,,External Referral,Active,,Afternoon,27564923,Email,GMT-6 (CST),,,JK Manufacturing,Primary,Jeff Krause,103 First Street,Omaha,Nebraska,68164,United States ,Midwest - northcentral,MWNC,ND-SD-MN-NE-IA,north central,Westwood,Jeff Krause,C23456,JK Distributor,JK Manufacturing,JK Partner,AR1W1,103 First Street,Omaha,Nebraska,68164,United States ,11/20/2014,11/21/2013,1001.01,Q3,2014,Router 5656BG,N,router,03/26/1012,1000.01,2/24/2012,1,SN320484839,Purchased,3/25/2017,SO353549,PAK395833kdk3092,open,JK Manufacturing,United States,IID097w345024fj,List Load,C23456,United States,JK Partner,Add,1001.02,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JK Manufacturing,100003,,Customer, , ,,,,,,,,,,,,,,,,,,,SE,Penny,Lane, ,Systems Engineer,Systems Engineer, ,Jeff Krause,IT,Customer SE contact,Penny.Lane@JKManufacturing.com,402.498.9800 Ext. 245, ,402-957-2314,402.498.4141,,103 First Street,Omaha,Nebraska,68164,United States ,5607 Winninghof St.,Omaha,Nebraska,68162,United States, , ,Word of mouth,Active, ,Morning,27564958,Phone,GMT-6 (CST), , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
